wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,70.4088,26.531
GAG-  2A,PUBLIC_000,70.5612,26.125
GAG-  2A,PUBLIC_000,70.7136,28.688
GAG-  2A,PUBLIC_000,70.866,26.969
GAG-  2A,PUBLIC_000,71.0184,28.266
GAG-  2A,PUBLIC_000,71.1708,26.078
GAG-  2A,PUBLIC_000,71.3232,23.516
GAG-  2A,PUBLIC_000,71.4756,23.828
GAG-  2A,PUBLIC_000,71.628,24.359
GAG-  2A,PUBLIC_000,71.7804,28.625
GAG-  2A,PUBLIC_000,71.9328,28.594
GAG-  2A,PUBLIC_000,72.0852,26.672
GAG-  2A,PUBLIC_000,72.2376,25.906
GAG-  2A,PUBLIC_000,72.39,29.141
GAG-  2A,PUBLIC_000,72.5424,28.781
GAG-  2A,PUBLIC_000,72.6948,29.156
GAG-  2A,PUBLIC_000,72.8472,28.578
GAG-  2A,PUBLIC_000,72.9996,31.203
GAG-  2A,PUBLIC_000,73.152,30.219
GAG-  2A,PUBLIC_000,73.3044,30.188
GAG-  2A,PUBLIC_000,73.4568,29.703
GAG-  2A,PUBLIC_000,73.6092,31.094
GAG-  2A,PUBLIC_000,73.7616,29.547
GAG-  2A,PUBLIC_000,73.914,28.141
GAG-  2A,PUBLIC_000,74.0664,27.484
GAG-  2A,PUBLIC_000,74.2188,29.078
GAG-  2A,PUBLIC_000,74.3712,31.359
GAG-  2A,PUBLIC_000,74.5236,32.969
GAG-  2A,PUBLIC_000,74.676,31.922
GAG-  2A,PUBLIC_000,74.8284,29.266
GAG-  2A,PUBLIC_000,74.9808,26.562
GAG-  2A,PUBLIC_000,75.1332,27.609
GAG-  2A,PUBLIC_000,75.2856,27.641
GAG-  2A,PUBLIC_000,75.438,28.281
GAG-  2A,PUBLIC_000,75.5904,28.219
GAG-  2A,PUBLIC_000,75.7428,31.75
GAG-  2A,PUBLIC_000,75.8952,33.75
GAG-  2A,PUBLIC_000,76.0476,31.891
GAG-  2A,PUBLIC_000,76.2,29.609
GAG-  2A,PUBLIC_000,76.3524,26.984
GAG-  2A,PUBLIC_000,76.5048,28
GAG-  2A,PUBLIC_000,76.6572,27.656
GAG-  2A,PUBLIC_000,76.8096,28.359
GAG-  2A,PUBLIC_000,76.962,26.703
GAG-  2A,PUBLIC_000,77.1144,29.094
GAG-  2A,PUBLIC_000,77.2668,29.094
GAG-  2A,PUBLIC_000,77.4192,29.453
GAG-  2A,PUBLIC_000,77.5716,27.719
GAG-  2A,PUBLIC_000,77.724,27.688
GAG-  2A,PUBLIC_000,77.8764,27.656
GAG-  2A,PUBLIC_000,78.0288,28.344
GAG-  2A,PUBLIC_000,78.1812,28.016
GAG-  2A,PUBLIC_000,78.3336,27.344
GAG-  2A,PUBLIC_000,78.486,26.75
GAG-  2A,PUBLIC_000,78.6384,29.609
GAG-  2A,PUBLIC_000,78.7908,29.938
GAG-  2A,PUBLIC_000,78.9432,29.5
GAG-  2A,PUBLIC_000,79.0956,27.219
GAG-  2A,PUBLIC_000,79.248,29.469
GAG-  2A,PUBLIC_000,79.4004,31.188
GAG-  2A,PUBLIC_000,79.5528,31.531
GAG-  2A,PUBLIC_000,79.7052,31.219
GAG-  2A,PUBLIC_000,79.8576,29.875
GAG-  2A,PUBLIC_000,80.01,27.641
GAG-  2A,PUBLIC_000,80.1624,28.359
GAG-  2A,PUBLIC_000,80.3148,29.094
GAG-  2A,PUBLIC_000,80.4672,30.5
GAG-  2A,PUBLIC_000,80.6196,29.891
GAG-  2A,PUBLIC_000,80.772,27.859
GAG-  2A,PUBLIC_000,80.9244,28.406
GAG-  2A,PUBLIC_000,81.0768,25.703
GAG-  2A,PUBLIC_000,81.2292,26.375
GAG-  2A,PUBLIC_000,81.3816,27
GAG-  2A,PUBLIC_000,81.534,26.359
GAG-  2A,PUBLIC_000,81.6864,25.016
